ID,Date,Time,Open,High,Low,Close
1,10/2/2012,11:00:00,3126,3131,3125,3128
2,10/2/2012,12:00:00,3127,3127,3119,3120
3,10/2/2012,13:00:00,3120,3124,3118,3124
4,10/2/2012,16:00:00,3123,3128,3120,3120
5,10/2/2012,17:00:00,3120,3137,3120,3133
6,10/2/2012,18:00:00,3132,3142,3128,3131
7,13/2/2012,11:00:00,3160,3164,3152,3157
8,13/2/2012,12:00:00,3157,3171,3157,3170
9,13/2/2012,13:00:00,3170,3170,3153,3156
10,13/2/2012,16:00:00,3162,3168,3161,3162
11,13/2/2012,17:00:00,3163,3169,3163,3167
12,13/2/2012,18:00:00,3167,3168,3161,3168
13,14/2/2012,11:00:00,3165,3184,3155,3182
14,14/2/2012,12:00:00,3183,3186,3174,3180
15,14/2/2012,13:00:00,3181,3184,3181,3182
16,14/2/2012,16:00:00,3175,3180,3174,3179
17,14/2/2012,17:00:00,3178,3187,3177,3180
18,14/2/2012,18:00:00,3180,3205,3177,3205
19,15/2/2012,11:00:00,3199,3201,3189,3189
20,15/2/2012,12:00:00,3189,3202,3188,3197
21,15/2/2012,13:00:00,3197,3198,3188,3191
22,15/2/2012,16:00:00,3189,3198,3182,3194
23,15/2/2012,17:00:00,3195,3202,3191,3200
24,15/2/2012,18:00:00,3201,3213,3197,3197
25,16/2/2012,11:00:00,3180,3184,3169,3184
26,16/2/2012,12:00:00,3184,3186,3170,3179
27,16/2/2012,13:00:00,3179,3183,3179,3182
28,16/2/2012,16:00:00,3180,3197,3178,3196
29,16/2/2012,17:00:00,3196,3202,3187,3193
30,16/2/2012,18:00:00,3193,3197,3186,3189
31,17/2/2012,11:00:00,3205,3219,3204,3216
32,17/2/2012,12:00:00,3216,3217,3212,3212
33,17/2/2012,13:00:00,3212,3213,3207,3211
34,17/2/2012,16:00:00,3212,3248,3212,3245
35,17/2/2012,17:00:00,3245,3255,3241,3246
36,17/2/2012,18:00:00,3247,3247,3234,3242
37,20/2/2012,11:00:00,3272,3276,3257,3258
38,20/2/2012,12:00:00,3258,3262,3255,3260
39,20/2/2012,13:00:00,3259,3263,3257,3260
40,20/2/2012,16:00:00,3255,3263,3245,3248
41,20/2/2012,17:00:00,3248,3255,3248,3250
42,20/2/2012,18:00:00,3249,3258,3241,3245
43,21/2/2012,11:00:00,3246,3247,3230,3238
44,21/2/2012,12:00:00,3237,3254,3236,3248
45,21/2/2012,13:00:00,3248,3248,3240,3242
46,21/2/2012,16:00:00,3253,3263,3250,3258
47,21/2/2012,17:00:00,3258,3268,3256,3266
48,21/2/2012,18:00:00,3266,3274,3263,3268
49,22/2/2012,11:00:00,3274,3279,3258,3258
50,22/2/2012,12:00:00,3259,3281,3258,3280
51,22/2/2012,13:00:00,3280,3285,3278,3281
52,22/2/2012,16:00:00,3278,3289,3272,3286
53,22/2/2012,17:00:00,3286,3294,3266,3268
54,22/2/2012,18:00:00,3267,3267,3249,3250
55,23/2/2012,11:00:00,3258,3263,3247,3255
56,23/2/2012,12:00:00,3255,3261,3246,3250
57,23/2/2012,13:00:00,3250,3250,3246,3247
58,23/2/2012,16:00:00,3258,3272,3247,3248
59,23/2/2012,17:00:00,3249,3258,3247,3257
60,23/2/2012,18:00:00,3257,3273,3253,3272
61,24/2/2012,11:00:00,3272,3275,3251,3256
62,24/2/2012,12:00:00,3256,3269,3256,3263
63,24/2/2012,13:00:00,3263,3265,3258,3265
64,24/2/2012,16:00:00,3269,3281,3265,3278
65,24/2/2012,17:00:00,3278,3279,3271,3275
66,24/2/2012,18:00:00,3275,3281,3272,3276
67,27/2/2012,11:00:00,3290,3296,3285,3289
68,27/2/2012,12:00:00,3290,3298,3283,3295
69,27/2/2012,13:00:00,3294,3300,3292,3296
70,27/2/2012,16:00:00,3290,3294,3286,3286
71,27/2/2012,17:00:00,3286,3286,3266,3270
72,27/2/2012,18:00:00,3269,3285,3269,3282
73,28/2/2012,11:00:00,3295,3297,3290,3292
74,28/2/2012,12:00:00,3292,3297,3290,3294
75,28/2/2012,13:00:00,3293,3297,3291,3295
76,28/2/2012,16:00:00,3301,3305,3293,3294
77,28/2/2012,17:00:00,3294,3321,3294,3299
78,28/2/2012,18:00:00,3299,3305,3293,3295
79,29/2/2012,11:00:00,3285,3288,3267,3275
80,29/2/2012,12:00:00,3274,3274,3260,3268
81,29/2/2012,13:00:00,3268,3271,3267,3271
82,29/2/2012,16:00:00,3274,3281,3272,3279
83,29/2/2012,17:00:00,3279,3280,3268,3271
84,29/2/2012,18:00:00,3271,3275,3261,3270
85,1/3/2012,11:00:00,3250,3258,3244,3250
86,1/3/2012,12:00:00,3250,3254,3247,3250
87,1/3/2012,13:00:00,3249,3254,3249,3250
88,1/3/2012,16:00:00,3240,3243,3233,3242
89,1/3/2012,17:00:00,3242,3258,3237,3257
90,1/3/2012,18:00:00,3257,3285,3251,3285
91,2/3/2012,11:00:00,3274,3283,3268,3270
92,2/3/2012,12:00:00,3271,3275,3261,3262
93,2/3/2012,13:00:00,3261,3264,3260,3263
94,2/3/2012,16:00:00,3262,3268,3256,3268
95,2/3/2012,17:00:00,3268,3268,3259,3262
96,2/3/2012,18:00:00,3261,3269,3257,3258
97,5/3/2012,11:00:00,3271,3271,3252,3255
98,5/3/2012,12:00:00,3254,3254,3244,3253
99,5/3/2012,13:00:00,3252,3253,3246,3249
100,5/3/2012,16:00:00,3257,3262,3244,3245
101,5/3/2012,17:00:00,3245,3251,3241,3247
102,5/3/2012,18:00:00,3247,3247,3236,3246
103,6/3/2012,11:00:00,3225,3233,3224,3230
104,6/3/2012,12:00:00,3230,3234,3222,3232
105,6/3/2012,13:00:00,3231,3231,3227,3230
106,6/3/2012,16:00:00,3235,3246,3234,3241
107,6/3/2012,17:00:00,3241,3259,3236,3254
108,6/3/2012,18:00:00,3254,3264,3241,3242
109,7/3/2012,11:00:00,3225,3238,3224,3235
110,7/3/2012,12:00:00,3234,3237,3226,3226
111,7/3/2012,13:00:00,3227,3233,3227,3232
112,7/3/2012,16:00:00,3231,3257,3227,3257
113,7/3/2012,17:00:00,3256,3257,3246,3257
114,7/3/2012,18:00:00,3257,3274,3256,3266
115,8/3/2012,11:00:00,3261,3268,3255,3257
116,8/3/2012,12:00:00,3257,3279,3257,3277
117,8/3/2012,13:00:00,3278,3290,3277,3288
118,8/3/2012,16:00:00,3291,3306,3287,3304
119,8/3/2012,17:00:00,3304,3306,3291,3295
120,8/3/2012,18:00:00,3295,3310,3291,3303
121,9/3/2012,11:00:00,3324,3342,3320,3339
122,9/3/2012,12:00:00,3340,3364,3340,3350
123,9/3/2012,13:00:00,3350,3355,3347,3352
124,9/3/2012,16:00:00,3362,3368,3350,3350
125,9/3/2012,17:00:00,3349,3355,3344,3346
126,9/3/2012,18:00:00,3345,3355,3345,3355
127,12/3/2012,11:00:00,3349,3349,3341,3343
128,12/3/2012,12:00:00,3343,3345,3331,3341
129,12/3/2012,13:00:00,3341,3348,3337,3347
130,12/3/2012,16:00:00,3335,3336,3321,3331
131,12/3/2012,17:00:00,3331,3334,3323,3330
132,12/3/2012,18:00:00,3330,3331,3309,3317
133,13/3/2012,11:00:00,3333,3334,3327,3331
134,13/3/2012,12:00:00,3330,3334,3321,3333
135,13/3/2012,13:00:00,3333,3342,3330,3342
136,13/3/2012,16:00:00,3349,3358,3344,3351
137,13/3/2012,17:00:00,3351,3355,3344,3347
138,13/3/2012,18:00:00,3348,3370,3348,3365
139,14/3/2012,11:00:00,3384,3395,3379,3393
140,14/3/2012,12:00:00,3393,3394,3388,3390
141,14/3/2012,13:00:00,3391,3392,3387,3390
142,14/3/2012,16:00:00,3370,3372,3358,3368
143,14/3/2012,17:00:00,3370,3379,3368,3379
144,14/3/2012,18:00:00,3379,3389,3378,3385
145,15/3/2012,11:00:00,3383,3403,3383,3393
146,15/3/2012,12:00:00,3393,3397,3384,3390
147,15/3/2012,13:00:00,3390,3396,3388,3396
148,15/3/2012,16:00:00,3396,3413,3390,3404
149,15/3/2012,17:00:00,3405,3413,3399,3406
150,15/3/2012,18:00:00,3406,3415,3403,3403
151,16/3/2012,11:00:00,3410,3418,3407,3413
152,16/3/2012,12:00:00,3414,3416,3394,3399
153,16/3/2012,13:00:00,3398,3401,3395,3396
154,16/3/2012,16:00:00,3390,3406,3385,3405
155,16/3/2012,17:00:00,3405,3413,3399,3403
156,16/3/2012,18:00:00,3403,3405,3393,3398
157,19/3/2012,11:00:00,3399,3407,3393,3400
158,19/3/2012,12:00:00,3400,3412,3399,3407
159,19/3/2012,13:00:00,3408,3408,3403,3404
160,19/3/2012,16:00:00,3400,3406,3380,3384
161,19/3/2012,17:00:00,3384,3387,3377,3380
162,19/3/2012,18:00:00,3380,3380,3368,3373
163,20/3/2012,11:00:00,3352,3360,3350,3352
164,20/3/2012,12:00:00,3351,3361,3346,3359
165,20/3/2012,13:00:00,3360,3368,3359,3366
166,20/3/2012,16:00:00,3354,3378,3349,3366
167,20/3/2012,17:00:00,3366,3371,3359,3366
168,20/3/2012,18:00:00,3367,3373,3352,3366
169,21/3/2012,11:00:00,3362,3372,3359,3364
170,21/3/2012,12:00:00,3364,3366,3343,3346
171,21/3/2012,13:00:00,3346,3352,3345,3346
172,21/3/2012,16:00:00,3350,3368,3349,3362
173,21/3/2012,17:00:00,3362,3368,3356,3366
174,21/3/2012,18:00:00,3366,3376,3356,3368
175,22/3/2012,11:00:00,3380,3383,3362,3365
176,22/3/2012,12:00:00,3364,3367,3359,3363
177,22/3/2012,13:00:00,3363,3363,3357,3357
178,22/3/2012,16:00:00,3352,3357,3348,3350
179,22/3/2012,17:00:00,3349,3354,3334,3338
180,22/3/2012,18:00:00,3338,3348,3336,3342
181,23/3/2012,11:00:00,3361,3367,3359,3362
182,23/3/2012,12:00:00,3362,3369,3360,3364
183,23/3/2012,13:00:00,3364,3375,3363,3375
184,23/3/2012,16:00:00,3384,3415,3379,3406
185,23/3/2012,17:00:00,3406,3419,3403,3413
186,23/3/2012,18:00:00,3413,3436,3412,3426
187,26/3/2012,11:00:00,3440,3449,3430,3444
188,26/3/2012,12:00:00,3443,3457,3433,3456
189,26/3/2012,13:00:00,3456,3457,3451,3452
190,26/3/2012,16:00:00,3460,3479,3455,3468
191,26/3/2012,17:00:00,3468,3472,3460,3466
192,26/3/2012,18:00:00,3466,3466,3447,3459
193,27/3/2012,11:00:00,3451,3467,3451,3454
194,27/3/2012,12:00:00,3455,3463,3450,3459
195,27/3/2012,13:00:00,3459,3467,3458,3467
196,27/3/2012,16:00:00,3473,3497,3471,3487
197,27/3/2012,17:00:00,3487,3493,3480,3481
198,27/3/2012,18:00:00,3481,3491,3481,3481
199,28/3/2012,11:00:00,3466,3476,3463,3475
200,28/3/2012,12:00:00,3476,3494,3474,3490
201,28/3/2012,13:00:00,3490,3492,3482,3486
202,28/3/2012,16:00:00,3477,3486,3470,3478
203,28/3/2012,17:00:00,3478,3478,3471,3476
204,28/3/2012,18:00:00,3475,3483,3473,3473
205,29/3/2012,11:00:00,3460,3462,3450,3457
206,29/3/2012,12:00:00,3456,3458,3445,3453
207,29/3/2012,13:00:00,3453,3460,3452,3455
208,29/3/2012,16:00:00,3453,3473,3453,3470
209,29/3/2012,17:00:00,3470,3477,3464,3466
210,29/3/2012,18:00:00,3467,3467,3455,3456
211,30/3/2012,11:00:00,3437,3445,3436,3441
212,30/3/2012,12:00:00,3441,3442,3430,3430
213,30/3/2012,13:00:00,3429,3434,3427,3429
214,30/3/2012,16:00:00,3428,3444,3426,3442
215,30/3/2012,17:00:00,3442,3443,3435,3436
216,30/3/2012,18:00:00,3436,3439,3427,3433
217,2/4/2012,11:00:00,3508,3510,3501,3506
218,2/4/2012,12:00:00,3506,3515,3504,3515
219,2/4/2012,13:00:00,3515,3527,3513,3525
220,2/4/2012,16:00:00,3520,3540,3515,3534
221,2/4/2012,17:00:00,3534,3537,3526,3532
222,2/4/2012,18:00:00,3533,3541,3529,3532
223,3/4/2012,11:00:00,3566,3566,3555,3556
224,3/4/2012,12:00:00,3556,3560,3552,3554
225,3/4/2012,13:00:00,3554,3559,3549,3550
226,3/4/2012,16:00:00,3549,3559,3544,3552
227,3/4/2012,17:00:00,3552,3553,3540,3542
228,3/4/2012,18:00:00,3540,3543,3532,3532
229,4/4/2012,11:00:00,3542,3562,3539,3557
230,4/4/2012,12:00:00,3558,3574,3557,3566
231,4/4/2012,13:00:00,3566,3566,3555,3555
232,4/4/2012,16:00:00,3558,3561,3546,3549
233,4/4/2012,17:00:00,3549,3550,3542,3545
234,4/4/2012,18:00:00,3545,3557,3538,3557
235,5/4/2012,11:00:00,3548,3555,3532,3535
236,5/4/2012,12:00:00,3535,3551,3535,3546
237,5/4/2012,13:00:00,3546,3561,3541,3560
238,5/4/2012,16:00:00,3563,3566,3555,3560
239,5/4/2012,17:00:00,3560,3565,3556,3562
240,5/4/2012,18:00:00,3562,3567,3550,3558
241,6/4/2012,11:00:00,3574,3579,3572,3574
242,6/4/2012,12:00:00,3573,3573,3562,3566
243,6/4/2012,13:00:00,3566,3569,3563,3565
244,6/4/2012,16:00:00,3575,3601,3571,3593
245,6/4/2012,17:00:00,3593,3603,3587,3600
246,6/4/2012,18:00:00,3600,3607,3597,3604
247,9/4/2012,11:00:00,3610,3623,3606,3619
